Product_Produit;Object-ID;Brand_Marque;Component-Type_Type-Composant;Model_Modele;Material_Materiau;Front-Wing-Surface_Surface-Aile-Avant_Cm2;Span-Length_Envergure-Longueur_Mm;Length_Longueur_Mm;High_Hauteur_Mm;Root-Chord_Empattement_Mm;Aspect-Ratio;Weight_Poids_g;Floatability_Flottabilite_L;Intended-Uses_Usages;Fuselage-Compatibility_Compatibilite-Fuselage;Box_Boitier;Mast-Compatibility_Compatibilite-Mat;Product-Picture_Photo-Produit;by;status;Comments;"Created on";Updates;"Last modified";"Foil-Database(Lien vers une autre table)";Foil-Database(Mast-Compatibility_Compatibilite-Mat)
"MOSES-MW873-Front Wing - Aile avant";4;MOSES;"Front Wing - Aile avant";MW873;"Carbon - Carbone";2100;873;;;304;;;;"Sup - surf";"MOSES-MFW900A-Fuselage, MOSES-MFS710-Fuselage, MOSES-MFS710A-Fuselage, MOSES-MFWR1100-Fuselage, MOSES-MFW900-Fuselage";;;;fxsuireperso;;;2019-08-28;"@fxsuireperso: changed field 'Intended-Uses_Usages' from '' to 'Sup - surf'";"2019-08-28 19:11:14";;
"MOSES-MW790-Front Wing - Aile avant";5;MOSES;"Front Wing - Aile avant";MW790;"Carbon - Carbone";1529;790;;;246;4,3;;;"Sup - surf, Windsurfing, Kitesurfing";"MOSES-MFW900A-Fuselage, MOSES-MFS710-Fuselage, MOSES-MFS710A-Fuselage, MOSES-MFWR1100-Fuselage, MOSES-MFW900-Fuselage";;;;fxsuireperso;;;2019-08-28;"@fxsuireperso: changed field 'Intended-Uses_Usages' from 'Kitesurfing' to 'Windsurfing'";"2019-08-28 19:11:47";;
"MOSES-MW633-Front Wing - Aile avant";2;MOSES;"Front Wing - Aile avant";MW633;"Carbon - Carbone";1239;633;;;256;3,3;;;"Sup - surf";"MOSES-MFW900A-Fuselage, MOSES-MFS710-Fuselage, MOSES-MFS710A-Fuselage, MOSES-MFWR1100-Fuselage, MOSES-MFW900-Fuselage";;;;fxsuireperso;;;2019-08-28;"@fxsuireperso: changed field 'Intended-Uses_Usages' from '' to 'Sup - surf'";"2019-08-28 19:09:43";;
"MOSES-MW900-Front Wing - Aile avant";7;MOSES;"Front Wing - Aile avant";MW900;"Carbon - Carbone";1025;900;;;148,5;7,90;;;Windsurfing;;;;;fxsuireperso;;;2019-08-28;"@fxsuireperso: changed field 'Aspect-Ratio' from '' to '7,90'";"2019-08-28 18:33:08";;
"MOSES-MW683-Front Wing - Aile avant";3;MOSES;"Front Wing - Aile avant";MW683;"Carbon - Carbone";1005;683;;;185;5,2;;;"Sup - surf, Windsurfing";"MOSES-MFW900A-Fuselage, MOSES-MFS710-Fuselage, MOSES-MFS710A-Fuselage, MOSES-MFWR1100-Fuselage, MOSES-MFW900-Fuselage";;;;fxsuireperso;;;2019-08-28;"@fxsuireperso: changed field 'Model_Modele' from 'MW683S' to 'MW683'";"2019-08-28 19:10:51";;
"MOSES-MW720-Front Wing - Aile avant";6;MOSES;"Front Wing - Aile avant";MW720;"Carbon - Carbone";746,4;720;;;136;6,95;;;Windsurfing;;;;;fxsuireperso;;;2019-08-28;"@fxsuireperso: changed field 'Aspect-Ratio' from '' to '6,95'";"2019-08-28 18:28:26";;
MOSES-MFWR1100-Fuselage;8;MOSES;Fuselage;MFWR1100;Aluminium;;;1100;;;;;;Windsurfing;;;;;fxsuireperso;;;2019-08-28;"@fxsuireperso: changed field 'Length_Longueur_Mm' from '900' to '1100'";"2019-08-30 12:00:20";"MOSES-MW790-Front Wing - Aile avant, MOSES-MW873-Front Wing - Aile avant, MOSES-MW683-Front Wing - Aile avant, MOSES-MW633-Front Wing - Aile avant";
MOSES-MFWR1100-Fuselage;9;MOSES;Fuselage;MFWR1100;Aluminium;;;1100;;;;;;Windsurfing;;;;;fxsuireperso;;;2019-08-28;"@fxsuireperso: changed field 'Length_Longueur' from '' to '1100'";"2019-08-28 19:26:59";;
MOSES-MFS710-Fuselage;10;MOSES;Fuselage;MFS710;"Mix - mélange";;;710;;;;;;"Sup - surf, Kitesurfing";;;;;fxsuireperso;;;2019-08-28;"@fxsuireperso: changed field 'Length_Longueur' from '' to '710'";"2019-08-28 19:26:59";"MOSES-MW790-Front Wing - Aile avant, MOSES-MW873-Front Wing - Aile avant, MOSES-MW683-Front Wing - Aile avant, MOSES-MW633-Front Wing - Aile avant";
MOSES-MFS710A-Fuselage;11;MOSES;Fuselage;MFS710A;Aluminium;;;710;;;;;;"Kitesurfing, Sup - surf";;;;;fxsuireperso;;;2019-08-28;"@fxsuireperso: changed field 'Length_Longueur' from '' to '710'";"2019-08-28 19:26:59";"MOSES-MW790-Front Wing - Aile avant, MOSES-MW873-Front Wing - Aile avant, MOSES-MW683-Front Wing - Aile avant, MOSES-MW633-Front Wing - Aile avant";
